am,ap,p01,p02,tau1,n01,n02,functionvalue
2.3288935195084917,8.42094238388382,579.5734575925696,905.9602656841686,85.12216427850646,3.0011366402321524,5.057669856028679,1.967958745409211e-13
2.635744556326791,16.35801421250037,1156.6770826760023,551.1068687987049,70.30078094039712,3.4622874520100124,5.783283532550196,1.0718101237922084e-11
9.007718529823906,18.728908347002005,859.7418837416694,606.499629056058,60.02946879529304,3.8886305530878076,6.648512270795376,1.753099196591344e-11
2.1855230619669324,16.285862419213665,918.9733761786056,911.6329685768467,84.94798943045404,3.0,4.99912424980782,1.218283763555661e-10
3.8579036654185423,9.25560045624907,1122.8921939945371,765.7159338519529,75.08430950790883,3.298501057187443,5.484724343615754,4.103095652769598e-12
9.944577703883244,15.008439647755702,1104.9074842656062,538.1766683827126,59.916348562799925,3.898875387520755,6.657721227341919,2.5899818179849506e-11
1.1709211968265543,14.803135678561908,579.8336296996191,975.1729763453525,73.75747179607528,3.347762638300395,5.718337515538579,2.9543388242473587e-13
1.0199859466460157,10.251626765821005,935.950108259138,1123.0066196599334,88.21946509499755,3.0,4.9408799784697335,1.533136997139174e-12
2.6018231213656193,11.749048141158365,1374.9339141063567,1459.4964950339015,62.58900559789005,3.8275644444035257,6.415705633851094,1.134112246338263e-12
4.719255410165938,18.693216242749152,987.325315554482,1406.598512506989,53.70109770180434,4.299114914480877,7.0,0.0009761613873237987
1.573339596928425,5.562556831783645,1090.7925160528835,518.1746854047433,89.86586400985342,3.0,4.794774079065671,3.505805944957623e-12
1.2023556128270658,8.39631571441514,1424.913223497996,1148.7317108223717,87.5588246889329,3.07432925385314,4.91089682179133,1.9425443552514274e-14
